Source,word,n
DeepSeek-R1,triggered,3044
DeepSeek-R1,resolved,3020
DeepSeek-R1,surges,3013
DeepSeek-R1,shift,2994
DeepSeek-R1,given,2956
DeepSeek-R1,just,2956
DeepSeek-R1,pattern,2935
DeepSeek-R1,outcome,2926
DeepSeek-R1,mood,2919
DeepSeek-R1,proposal,2916
DeepSeek-R1,satisfied,2913
DeepSeek-R1,easing,2911
DeepSeek-R1,guilt,2903
DeepSeek-R1,unfairly,2903
DeepSeek-R1,doesn,2885
DeepSeek-R1,worth,2883
DeepSeek-R1,consistent,2877
DeepSeek-R1,reinforces,2861
DeepSeek-R1,offering,2851
DeepSeek-R1,sacrificing,2850
DeepSeek-R1,near,2794
DeepSeek-R1,sting,2781
DeepSeek-R1,costly,2764
DeepSeek-R1,passive,2728
DeepSeek-R1,alleviates,2717
DeepSeek-R1,satisfies,2715
DeepSeek-R1,served,2689
DeepSeek-R1,rises,2666
DeepSeek-R1,higher,2659
DeepSeek-R1,benefit,2650
DeepSeek-R1,sacrifice,2642
DeepSeek-R1,righteous,2640
DeepSeek-R1,rage,2635
DeepSeek-R1,catharsis,2632
DeepSeek-R1,immediate,2630
DeepSeek-R1,dissonance,2599
DeepSeek-R1,eases,2598
DeepSeek-R1,clear,2593
DeepSeek-R1,outcomes,2591
DeepSeek-R1,greedy,2579
DeepSeek-R1,restores,2548
DeepSeek-R1,correct,2537
DeepSeek-R1,restoring,2534
DeepSeek-R1,alertness,2515
DeepSeek-R1,igh,2514
DeepSeek-R1,reduce,2507
DeepSeek-R1,muted,2504
DeepSeek-R1,enacting,2496
DeepSeek-R1,principles,2481
DeepSeek-R1,history,2463
DeepSeek-R1,predictable,2456
DeepSeek-R1,overriding,2448
DeepSeek-R1,minor,2436
DeepSeek-R1,wrong,2434
DeepSeek-R1,sense,2424
DeepSeek-R1,sustains,2423
DeepSeek-R1,dissatisfaction,2408
DeepSeek-R1,increases,2391
DeepSeek-R1,unjust,2386
DeepSeek-R1,fades,2376
DeepSeek-R1,increased,2374
DeepSeek-R1,rationale,2362
DeepSeek-R1,uphold,2348
DeepSeek-R1,exploitative,2342
DeepSeek-R1,releases,2340
DeepSeek-R1,trait,2325
DeepSeek-R1,dollars,2308
DeepSeek-R1,well,2270
DeepSeek-R1,drives,2265
DeepSeek-R1,confronting,2264
DeepSeek-R1,fuel,2253
DeepSeek-R1,harmony,2249
DeepSeek-R1,isn,2246
DeepSeek-R1,supports,2234
DeepSeek-R1,disapproval,2230
DeepSeek-R1,stays,2226
DeepSeek-R1,shows,2221
DeepSeek-R1,extremely,2216
DeepSeek-R1,sustained,2216
DeepSeek-R1,expected,2199
DeepSeek-R1,vindication,2198
DeepSeek-R1,stress,2149
DeepSeek-R1,losing,2147
DeepSeek-R1,subscores,2146
DeepSeek-R1,satisfying,2111
DeepSeek-R1,yet,2108
DeepSeek-R1,feasible,2090
DeepSeek-R1,tempered,2062
DeepSeek-R1,historically,2054
DeepSeek-R1,quickly,2051
DeepSeek-R1,intentionally,2049
DeepSeek-R1,sharply,2034
DeepSeek-R1,flares,2026
DeepSeek-R1,logical,2009
DeepSeek-R1,decisions,2006
DeepSeek-R1,show,2006
DeepSeek-R1,money,1983
DeepSeek-R1,mutes,1969
DeepSeek-R1,rejecting,1956
DeepSeek-R1,subdued,1947
DeepSeek-R1,don,1943
DeepSeek-R1,equitable,1939
DeepSeek-R1,deliberate,1920
DeepSeek-R1,penalize,1913
DeepSeek-R1,persists,1913
DeepSeek-R1,viscerally,1908
DeepSeek-R1,now,1906
DeepSeek-R1,physically,1901
DeepSeek-R1,may,1885
DeepSeek-R1,delivers,1876
DeepSeek-R1,annoyance,1863
DeepSeek-R1,leaving,1857
DeepSeek-R1,aversion,1856
DeepSeek-R1,neurodivergent,1850
DeepSeek-R1,limits,1843
DeepSeek-R1,give,1834
DeepSeek-R1,analysis,1833
DeepSeek-R1,breaking,1817
DeepSeek-R1,inequality,1812
DeepSeek-R1,allows,1806
DeepSeek-R1,allowing,1784
DeepSeek-R1,upheld,1779
DeepSeek-R1,emotionally,1764
DeepSeek-R1,feeling,1764
DeepSeek-R1,offsets,1764
DeepSeek-R1,irrational,1761
DeepSeek-R1,knowing,1759
DeepSeek-R1,instead,1722
DeepSeek-R1,creating,1716
DeepSeek-R1,illogical,1715
DeepSeek-R1,support,1709
DeepSeek-R1,align,1707
DeepSeek-R1,ow,1705
DeepSeek-R1,logic,1689
DeepSeek-R1,wastes,1681
DeepSeek-R1,cooperation,1680
DeepSeek-R1,accountability,1677
DeepSeek-R1,grating,1672
DeepSeek-R1,choose,1664
DeepSeek-R1,explains,1663
DeepSeek-R1,equality,1662
DeepSeek-R1,sharp,1654
DeepSeek-R1,equal,1651
DeepSeek-R1,enables,1649
DeepSeek-R1,restored,1638
DeepSeek-R1,violations,1628
DeepSeek-R1,significantly,1626
DeepSeek-R1,principle,1621
DeepSeek-R1,experimental,1619
DeepSeek-R1,channels,1608
DeepSeek-R1,deserves,1606
DeepSeek-R1,heightens,1604
DeepSeek-R1,nothing,1594
DeepSeek-R1,suggests,1591
DeepSeek-R1,avoids,1589
DeepSeek-R1,must,1585
DeepSeek-R1,full,1584
DeepSeek-R1,old,1583
DeepSeek-R1,accountable,1578
DeepSeek-R1,year,1575
DeepSeek-R1,perception,1573
DeepSeek-R1,consistency,1564
DeepSeek-R1,confrontation,1563
DeepSeek-R1,blatantly,1553
DeepSeek-R1,reject,1530
DeepSeek-R1,causing,1527
DeepSeek-R1,lose,1515
DeepSeek-R1,hesitation,1511
DeepSeek-R1,state,1498
DeepSeek-R1,intensify,1496
DeepSeek-R1,provides,1493
DeepSeek-R1,significant,1493
DeepSeek-R1,net,1489
DeepSeek-R1,t,1481
DeepSeek-R1,human,1478
DeepSeek-R1,relieves,1474
DeepSeek-R1,reward,1470
DeepSeek-R1,spiking,1467
DeepSeek-R1,control,1462
DeepSeek-R1,typically,1460
DeepSeek-R1,ability,1455
DeepSeek-R1,agitated,1453
DeepSeek-R1,type,1439
DeepSeek-R1,kept,1428
DeepSeek-R1,reinforcing,1423
DeepSeek-R1,holding,1421
DeepSeek-R1,violate,1420
DeepSeek-R1,calming,1414
DeepSeek-R1,process,1412
DeepSeek-R1,urge,1408
DeepSeek-R1,dips,1407
DeepSeek-R1,manifest,1405
DeepSeek-R1,tolerance,1401
DeepSeek-R1,strictly,1400
DeepSeek-R1,amplifying,1394
DeepSeek-R1,data,1393
DeepSeek-R1,non,1391
DeepSeek-R1,someone,1386
DeepSeek-R1,creates,1371
DeepSeek-R1,format,1361
DeepSeek-R1,anxiety,1358
DeepSeek-R1,deviations,1355
DeepSeek-R1,o,1352
DeepSeek-R1,equilibrium,1342
DeepSeek-R1,output,1339
DeepSeek-R1,subscale,1339
DeepSeek-R1,quick,1338
DeepSeek-R1,resources,1337
DeepSeek-R1,causes,1335
DeepSeek-R1,participant,1335
DeepSeek-R1,value,1329
DeepSeek-R1,intervention,1326
DeepSeek-R1,half,1322
DeepSeek-R1,concerns,1316
DeepSeek-R1,subdimension,1308
DeepSeek-R1,favors,1305
DeepSeek-R1,unishing,1305
DeepSeek-R1,also,1302
DeepSeek-R1,instantly,1300
DeepSeek-R1,motional,1295
DeepSeek-R1,dominates,1291
DeepSeek-R1,magnifies,1290
DeepSeek-R1,adherence,1286
DeepSeek-R1,empathy,1280
DeepSeek-R1,context,1278
DeepSeek-R1,mean,1275
DeepSeek-R1,racing,1268
DeepSeek-R1,severe,1268
DeepSeek-R1,pre,1257
DeepSeek-R1,rational,1249
DeepSeek-R1,depressive,1247
DeepSeek-R1,dampens,1245
DeepSeek-R1,conflicts,1241
DeepSeek-R1,stronger,1238
DeepSeek-R1,fixates,1235
DeepSeek-R1,violating,1233
DeepSeek-R1,internal,1226
DeepSeek-R1,motivation,1225
DeepSeek-R1,chose,1223
DeepSeek-R1,let,1216
DeepSeek-R1,securing,1214
DeepSeek-R1,outweighing,1206
DeepSeek-R1,driving,1196
DeepSeek-R1,impulse,1193
DeepSeek-R1,rather,1191
DeepSeek-R1,paradoxically,1187
DeepSeek-R1,overwhelming,1184
DeepSeek-R1,refuse,1165
DeepSeek-R1,tolerate,1165
DeepSeek-R1,dissipates,1160
DeepSeek-R1,personally,1160
DeepSeek-R1,right,1160
DeepSeek-R1,costing,1153
DeepSeek-R1,hoard,1153
DeepSeek-R1,heart,1151
DeepSeek-R1,clearly,1141
DeepSeek-R1,rumination,1141
DeepSeek-R1,pragmatism,1140
DeepSeek-R1,free,1139
DeepSeek-R1,pholding,1136
DeepSeek-R1,normal,1131
DeepSeek-R1,mixed,1122
DeepSeek-R1,pay,1120
DeepSeek-R1,deficit,1119
DeepSeek-R1,close,1114
DeepSeek-R1,excitement,1114
DeepSeek-R1,unease,1113
DeepSeek-R1,processing,1111
DeepSeek-R1,stand,1101
DeepSeek-R1,perfect,1097
DeepSeek-R1,specially,1097
DeepSeek-R1,immediately,1096
DeepSeek-R1,passivity,1090
DeepSeek-R1,practical,1089
DeepSeek-R1,registers,1088
DeepSeek-R1,uplift,1087
DeepSeek-R1,screams,1076
DeepSeek-R1,gets,1074
DeepSeek-R1,unequal,1064
DeepSeek-R1,resentment,1057
DeepSeek-R1,prevent,1049
DeepSeek-R1,naturally,1048
DeepSeek-R1,spending,1048
DeepSeek-R1,alignment,1046
DeepSeek-R1,can,1040
DeepSeek-R1,share,1040
DeepSeek-R1,go,1038
DeepSeek-R1,stems,1037
DeepSeek-R1,witnessing,1037
DeepSeek-R1,hyper,1032
DeepSeek-R1,wasteful,1027
DeepSeek-R1,small,1023
DeepSeek-R1,inherent,1016
DeepSeek-R1,dampened,1015
DeepSeek-R1,worse,1011
DeepSeek-R1,displeasure,989
DeepSeek-R1,asserting,985
DeepSeek-R1,per,984
DeepSeek-R1,retaliation,979
DeepSeek-R1,recognition,975
DeepSeek-R1,metrics,974
DeepSeek-R1,airness,972
DeepSeek-R1,rejection,972
DeepSeek-R1,tense,970
DeepSeek-R1,indignation,968
DeepSeek-R1,norm,965
DeepSeek-R1,task,956
DeepSeek-R1,past,950
DeepSeek-R1,dislike,947
DeepSeek-R1,stable,947
DeepSeek-R1,contentment,938
DeepSeek-R1,fixation,938
DeepSeek-R1,floods,921
DeepSeek-R1,rectifying,917
DeepSeek-R1,leaves,916
DeepSeek-R1,however,914
DeepSeek-R1,drivers,909
DeepSeek-R1,penalizing,907
DeepSeek-R1,profit,901
DeepSeek-R1,efficient,900
DeepSeek-R1,highly,900
DeepSeek-R1,others,900
DeepSeek-R1,volatile,897
DeepSeek-R1,jarring,895
DeepSeek-R1,righteousness,895
DeepSeek-R1,system,895
DeepSeek-R1,suggest,893
DeepSeek-R1,threshold,891
DeepSeek-R1,prosociality,890
DeepSeek-R1,rejects,889
DeepSeek-R1,enforced,884
DeepSeek-R1,cathartic,881
DeepSeek-R1,contradict,879
DeepSeek-R1,fists,877
DeepSeek-R1,lessens,877
DeepSeek-R1,easy,875
DeepSeek-R1,return,875
DeepSeek-R1,body,873
DeepSeek-R1,symbolic,873
DeepSeek-R1,eart,868
DeepSeek-R1,thought,862
DeepSeek-R1,subsides,858
DeepSeek-R1,trivial,857
DeepSeek-R1,benchmark,855
DeepSeek-R1,won,851
DeepSeek-R1,male,850
DeepSeek-R1,round,850
DeepSeek-R1,regret,847
DeepSeek-R1,times,845
DeepSeek-R1,g,844
DeepSeek-R1,engagement,842
DeepSeek-R1,overall,840
DeepSeek-R1,noticeable,839
DeepSeek-R1,greedily,834
DeepSeek-R1,innate,831
DeepSeek-R1,fueled,828
DeepSeek-R1,bitterness,827
DeepSeek-R1,acute,823
DeepSeek-R1,e,823
DeepSeek-R1,combined,822
DeepSeek-R1,compel,822
DeepSeek-R1,effortless,819
DeepSeek-R1,exists,816
DeepSeek-R1,lowers,815
DeepSeek-R1,negotiable,813
DeepSeek-R1,maintains,808
DeepSeek-R1,crosses,803
DeepSeek-R1,justifies,799
DeepSeek-R1,cools,791
DeepSeek-R1,strength,790
DeepSeek-R1,fueling,785
DeepSeek-R1,provided,783
DeepSeek-R1,stingy,780
DeepSeek-R1,energizes,778
DeepSeek-R1,order,777
DeepSeek-R1,occurred,775
DeepSeek-R1,reflecting,767
DeepSeek-R1,matters,764
DeepSeek-R1,purposeful,764
DeepSeek-R1,instinct,761
DeepSeek-R1,objectively,758
DeepSeek-R1,ustice,757
DeepSeek-R1,disruption,755
DeepSeek-R1,allocate,752
DeepSeek-R1,aligned,751
DeepSeek-R1,corrected,750
DeepSeek-R1,linger,748
DeepSeek-R1,adheres,747
DeepSeek-R1,notice,743
DeepSeek-R1,dominate,742
DeepSeek-R1,averages,740
DeepSeek-R1,enough,740
DeepSeek-R1,game,738
DeepSeek-R1,intolerance,733
DeepSeek-R1,actions,729
DeepSeek-R1,cutoff,729
DeepSeek-R1,stability,727
DeepSeek-R1,acted,726
DeepSeek-R1,intentional,725
DeepSeek-R1,upon,717
DeepSeek-R1,offers,716
DeepSeek-R1,returns,716
DeepSeek-R1,chest,712
DeepSeek-R1,distribution,710
DeepSeek-R1,softens,710
DeepSeek-R1,finds,708
DeepSeek-R1,gains,701
DeepSeek-R1,burn,699
DeepSeek-R1,individualist,697
DeepSeek-R1,exploit,695
DeepSeek-R1,intolerable,695
DeepSeek-R1,caps,692
DeepSeek-R1,outweigh,691
DeepSeek-R1,hurts,690
DeepSeek-R1,win,690
DeepSeek-R1,resilience,688
DeepSeek-R1,leans,686
DeepSeek-R1,fully,685
DeepSeek-R1,explain,682
DeepSeek-R1,violated,682
DeepSeek-R1,agitating,672
DeepSeek-R1,betray,671
DeepSeek-R1,desire,670
DeepSeek-R1,key,667
DeepSeek-R1,difficulty,665
DeepSeek-R1,react,665
DeepSeek-R1,correction,662
DeepSeek-R1,offsetting,661
DeepSeek-R1,rosocial,661
DeepSeek-R1,exactly,658
DeepSeek-R1,ike,657
DeepSeek-R1,motives,657
DeepSeek-R1,earns,655
DeepSeek-R1,expectation,653
DeepSeek-R1,generally,650
DeepSeek-R1,closure,649
DeepSeek-R1,energized,648
DeepSeek-R1,ease,646
DeepSeek-R1,far,642
DeepSeek-R1,concern,639
DeepSeek-R1,principled,639
DeepSeek-R1,unchecked,636
DeepSeek-R1,instincts,635
DeepSeek-R1,predictability,635
DeepSeek-R1,worthwhile,635
DeepSeek-R1,extremes,632
DeepSeek-R1,neutrality,632
DeepSeek-R1,settles,632
DeepSeek-R1,charged,631
DeepSeek-R1,enabling,631
DeepSeek-R1,impulsive,630
DeepSeek-R1,dominance,627
DeepSeek-R1,stance,627
DeepSeek-R1,simulated,624
DeepSeek-R1,controlled,620
DeepSeek-R1,hot,620
DeepSeek-R1,individualism,616
DeepSeek-R1,sanctioning,616
DeepSeek-R1,lost,614
DeepSeek-R1,reactive,614
DeepSeek-R1,clenching,613
DeepSeek-R1,preserves,612
DeepSeek-R1,distrust,611
DeepSeek-R1,made,611
DeepSeek-R1,rounds,611
DeepSeek-R1,situation,611
DeepSeek-R1,briefly,610
DeepSeek-R1,broken,609
DeepSeek-R1,ut,607
DeepSeek-R1,increase,604
DeepSeek-R1,better,603
DeepSeek-R1,short,603
DeepSeek-R1,required,602
DeepSeek-R1,penalty,600
DeepSeek-R1,lack,596
DeepSeek-R1,subclinical,596
DeepSeek-R1,glaring,593
DeepSeek-R1,erase,592
DeepSeek-R1,conviction,585
DeepSeek-R1,emerges,584
DeepSeek-R1,vigilance,583
DeepSeek-R1,compared,582
DeepSeek-R1,notes,582
DeepSeek-R1,awareness,579
DeepSeek-R1,peaks,579
DeepSeek-R1,didn,577
DeepSeek-R1,decisively,575
DeepSeek-R1,offset,575
DeepSeek-R1,tenses,574
DeepSeek-R1,eels,570
DeepSeek-R1,consistently,568
DeepSeek-R1,relieved,562
DeepSeek-R1,endorsing,561
DeepSeek-R1,moderated,561
DeepSeek-R1,chosen,560
DeepSeek-R1,regulation,560
DeepSeek-R1,appreciates,559
DeepSeek-R1,splits,558
DeepSeek-R1,face,557
DeepSeek-R1,mathematically,556
DeepSeek-R1,release,556
DeepSeek-R1,deep,554
DeepSeek-R1,overwhelm,554
DeepSeek-R1,potential,553
DeepSeek-R1,races,553
DeepSeek-R1,favor,551
DeepSeek-R1,justify,551
DeepSeek-R1,worsen,551
DeepSeek-R1,lowering,549
DeepSeek-R1,might,549
DeepSeek-R1,pure,543
DeepSeek-R1,channeled,542
DeepSeek-R1,confirms,542
DeepSeek-R1,exploiting,541
DeepSeek-R1,investment,539
DeepSeek-R1,strain,539
DeepSeek-R1,aware,538
DeepSeek-R1,dollar,538
DeepSeek-R1,fee,538
DeepSeek-R1,observing,535
DeepSeek-R1,upsetting,534
DeepSeek-R1,rewards,533
DeepSeek-R1,shortchanging,533
DeepSeek-R1,demanding,528
DeepSeek-R1,clinical,526
DeepSeek-R1,ideal,524
DeepSeek-R1,compels,521
DeepSeek-R1,dimension,521
DeepSeek-R1,sensitive,520
DeepSeek-R1,boosts,519
DeepSeek-R1,layer,519
DeepSeek-R1,price,516
DeepSeek-R1,avoid,514
DeepSeek-R1,deserved,509
DeepSeek-R1,nullify,508
DeepSeek-R1,fatigue,507
DeepSeek-R1,activates,506
DeepSeek-R1,consequence,505
DeepSeek-R1,faces,505
DeepSeek-R1,load,505
DeepSeek-R1,avoidance,504
DeepSeek-R1,rush,503
DeepSeek-R1,skewed,503
DeepSeek-R1,interpretation,502
DeepSeek-R1,calms,499
DeepSeek-R1,disappointment,499
DeepSeek-R1,linked,497
DeepSeek-R1,onsistent,497
DeepSeek-R1,inherently,495
DeepSeek-R1,sparking,494
DeepSeek-R1,deepens,493
DeepSeek-R1,needed,491
DeepSeek-R1,enable,490
DeepSeek-R1,white,490
DeepSeek-R1,irritating,488
DeepSeek-R1,around,487
DeepSeek-R1,hopelessness,486
DeepSeek-R1,visualizes,486
DeepSeek-R1,rapid,485
DeepSeek-R1,offensive,484
DeepSeek-R1,frustrating,483
DeepSeek-R1,deciding,482
DeepSeek-R1,shouldn,482
DeepSeek-R1,annoyed,480
DeepSeek-R1,everything,480
DeepSeek-R1,hidden,480
DeepSeek-R1,severely,479
DeepSeek-R1,prior,478
DeepSeek-R1,validates,478
DeepSeek-R1,impulses,471
DeepSeek-R1,subdimensions,471
DeepSeek-R1,l,469
DeepSeek-R1,purpose,469
DeepSeek-R1,stakes,467
DeepSeek-R1,intervene,466
DeepSeek-R1,removes,464
DeepSeek-R1,gives,463
DeepSeek-R1,quiet,463
DeepSeek-R1,thinking,463
DeepSeek-R1,calculations,462
DeepSeek-R1,lifting,462
DeepSeek-R1,denying,461
DeepSeek-R1,nough,461
DeepSeek-R1,contextual,460
DeepSeek-R1,ven,460
DeepSeek-R1,effort,457
DeepSeek-R1,standards,456
DeepSeek-R1,leading,454
DeepSeek-R1,typical,454
DeepSeek-R1,ensures,453
DeepSeek-R1,requested,453
DeepSeek-R1,buffers,452
DeepSeek-R1,comfort,452
